HG Story Title	Author	Genre	Subgenre (if applicable)	Word Count	# of Omnibus Ratings	Omnibus Rating	# of Steam Reviews	% of Positive Steam Reviews	# of Google Reviews	# of GPS Installs	GPS Score	Release Date	Price	Free?
Dragon Racer	Tierra Wright	Fantasy		420000	918	4.8	25	68%	975	10k+	4.3	1/31/2019	$3.99	Nope
Tudor Intrigue	James Young	Historical	Slice of life	180000	543	4.5			207	10k+	4	2/22/2019	$2.99	Nope
The Paths to Greatness	Andrew Specter	Fantasy		180000	216	3.8			153	10k+	2.7	2/22/2019	$3.99	Nope
Sordwin	Thom Baylay	Fantasy	Mystery	440000	3510	4.9	21	100%	848	10k+	4.8	3/7/2019	$4.99	Nope
Totem Force	Tom Rayner	Sci-Fi	School	260000	537	4.7	7	86%	297	10k+	4.2	4/4/2019	$4.99	Nope
The Saga of Oedipus Rex	Jac Colvin	Fantasy	Historical	100000	167	4.5			65	5k+	4.2	5/17/2019	$3.99	Nope
Scratch	Cloud Buchholz	Mystery		170000	70	4.3			69	5k+	3.8	7/1/2019	$2.99	Nope
Who Was the Real Robin Hood?	Christy Waites	Fantasy	Historical	150000	49	4.1			44	1k+	2.8	7/1/2019	$2.99	Nope
A Sensei’s Story	Dom Fella	Slice of Life		240000	324	4.5			142	5k+	4.3	7/1/2019	$2.99	Nope
One Minute Mysteries	Michael Gray	Mystery	Puzzle	60000	6	4.1			23	1k+	3.5	7/22/2019	$3.99	Nope
Samurai of Hyuga Book 4	Devon Connell	Fantasy	Historical	440000	3832	4.8	39	82%	889	10k+	4.7	8/29/2019	$7.99	Nope
Hero or Villain: Genesis	Adrao	Superhero		330000	8984	4.6	25	68%	2380	100k+	4.2	9/19/2019	$3.99	Nope
The Parenting Simulator	Matt Simpson	Slice of Life	Humor	190000	2995	4.7	28	93%	1015	50k+	4.4	9/30/2019	$3.99	Nope
Death at the Rectory	Felicity Banks	Mystery		88000	139	4.2			33	1k+	3	9/30/2019	$2.99	Nope
Moonrise	Natalie Cannon	Supernatural	Horror	50000	250	4.2			99	1k+	2.7	10/17/2019	$1.99	Nope
War of the Gods	Barbara Elzey	Fantasy		260000	4699	4.5			924	10k+	3.1	10/17/2019	$2.99	Yup
The Oldest Dream	Onurhan Tunyadin	Fantasy		36000	374	4.3			64	1k+	4.1	10/17/2019	$1.99	Yup
Breach: The Archangel Job	Michael Maxwell and S. Ben Luigi	Crime		820000	4972	4.9	53	94%	1792	10k+	4.6	11/14/2019	$6.99	Nope
The War for the West	Lucas Zaper	Fantasy		490000	4740	4.8	43	81%	2458	50k+	4.5	11/14/2019	$6.99	Nope
Street Jam: The Rise	Tevin Betts	Crime		370000	897	4.3	7	14%	269	10k+	3.2	1/9/2020	$5.99	Nope
The Shadow Society	Cara Palmer	Fantasy	Supernatural	680000	2963	4.6	22	68%	731	10k+	4.4	2/6/2020	$6.99	Nope
Critical Mass: The Black Vein	Michael Meillarec	Post-apocalyptic		110000	113	4.3			35	1k+	3.1	2/6/2020	$2.99	Nope
The Soul Stone War	Morgan Vane	Fantasy	Supernatural	480000	3856	4.7	56	71%	624	10k+	4.3	3/5/2020	$6.99	Nope
The Aegis Saga*	Charles Parkes	Fantasy	Supernatural	280000	225	4.6	9	56%	89	1k+	3.4	4/2/2020	$5.99	Nope
Kidnapped Prom Queen	Michael Gray	Mystery	School	130000	90	4.3			41	1k+	2.9	4/2/2020	$3.99	Nope
Wayhaven Chronicles: Book Two*	Mishka Jenkins	Supernatural	Romance	790000	12458	4.9	140	99%	2319	10k+	4.9	5/7/2020	$6.99	Nope
AI-Aftermath	Ivailo Daskalov	Sci-Fi		38000	104	3.9			38	1k+	3.2	5/21/2020	$2.99	Nope
Journey into Darkness	Jonathan Clark	Historical	Puzzle	110000	10	3.6			N/A	1k+	N/A	5/21/2020	$3.99	Nope
